file,date,latitude,longitude,ocean,profiler_type,institution,date_update,parsed_date,download_url
aoml/1902482/profiles/R1902482_071.nc,20250424022843,3.517,69.732,I,854,AO,20250504100208,2025-04-24 02:28:43,https://data-argo.ifremer.fr/dac/aoml/1902482/profiles/R1902482_071.nc
csiro/5905477/profiles/R5905477_172.nc,20250422221201,-19.529,110.447,I,869,CS,20250423013159,2025-04-22 22:12:01,https://data-argo.ifremer.fr/dac/csiro/5905477/profiles/R5905477_172.nc
aoml/7902201/profiles/R7902201_040.nc,20250718094834,-3.498,57.993,I,869,AO,20250718120125,2025-07-18 09:48:34,https://data-argo.ifremer.fr/dac/aoml/7902201/profiles/R7902201_040.nc
incois/2902184/profiles/R2902184_335.nc,20241214115859,-19.884,67.999,I,846,IN,20241222094620,2024-12-14 11:58:59,https://data-argo.ifremer.fr/dac/incois/2902184/profiles/R2902184_335.nc
coriolis/6990503/profiles/R6990503_115.nc,20250508063914,-0.683,75.003,I,834,IF,20250508113237,2025-05-08 06:39:14,https://data-argo.ifremer.fr/dac/coriolis/6990503/profiles/R6990503_115.nc
coriolis/1902757/profiles/R1902757_031.nc,20250526224600,23.753,61.878,I,844,IF,20250526232710,2025-05-26 22:46:00,https://data-argo.ifremer.fr/dac/coriolis/1902757/profiles/R1902757_031.nc
incois/4903783/profiles/R4903783_050.nc,20250604132300,6.606,67.524,I,836,IN,20250604145910,2025-06-04 13:23:00,https://data-argo.ifremer.fr/dac/incois/4903783/profiles/R4903783_050.nc
aoml/1902286/profiles/R1902286_011.nc,20241115111114,4.027,65.682,I,869,AO,20241126040141,2024-11-15 11:11:14,https://data-argo.ifremer.fr/dac/aoml/1902286/profiles/R1902286_011.nc
aoml/7902201/profiles/R7902201_017.nc,20241126193531,-3.323,58.401,I,869,AO,20241126200403,2024-11-26 19:35:31,https://data-argo.ifremer.fr/dac/aoml/7902201/profiles/R7902201_017.nc
aoml/5906279/profiles/D5906279_165.nc,20250210152211,-16.767,68.658,I,846,AO,20250429102458,2025-02-10 15:22:11,https://data-argo.ifremer.fr/dac/aoml/5906279/profiles/D5906279_165.nc
incois/7902170/profiles/R7902170_046.nc,20250710144131,1.588,88.507,I,846,IN,20250804054109,2025-07-10 14:41:31,https://data-argo.ifremer.fr/dac/incois/7902170/profiles/R7902170_046.nc
coriolis/5907141/profiles/R5907141_053.nc,20250721065420,24.555,60.016,I,844,IF,20250721081924,2025-07-21 06:54:20,https://data-argo.ifremer.fr/dac/coriolis/5907141/profiles/R5907141_053.nc
coriolis/6903140/profiles/R6903140_304.nc,20250211084730,23.188,63.298,I,844,IF,20250524114600,2025-02-11 08:47:30,https://data-argo.ifremer.fr/dac/coriolis/6903140/profiles/R6903140_304.nc
incois/7902170/profiles/R7902170_047.nc,20250720123222,1.722,88.606,I,846,IN,20250804054138,2025-07-20 12:32:22,https://data-argo.ifremer.fr/dac/incois/7902170/profiles/R7902170_047.nc
incois/6990617/profiles/D6990617_044.nc,20250324140144,-13.667,85.217,I,844,IN,20250526042251,2025-03-24 14:01:44,https://data-argo.ifremer.fr/dac/incois/6990617/profiles/D6990617_044.nc
coriolis/7901015/profiles/R7901015_050.nc,20241202174630,-1.327,81.627,I,844,IF,20241202183812,2024-12-02 17:46:30,https://data-argo.ifremer.fr/dac/coriolis/7901015/profiles/R7901015_050.nc
aoml/1902286/profiles/R1902286_040.nc,20250901124501,3.727,63.394,I,869,AO,20250901140152,2025-09-01 12:45:01,https://data-argo.ifremer.fr/dac/aoml/1902286/profiles/R1902286_040.nc
aoml/1902052/profiles/D1902052_170.nc,20250224061403,-15.158,86.464,I,853,AO,20250708044358,2025-02-24 06:14:03,https://data-argo.ifremer.fr/dac/aoml/1902052/profiles/D1902052_170.nc
